"nm_customer","nm_audience","nm_ultra_segmentation"
CGC Marcos Livi,CGC Marcos Livi,Sem Restaurante
CGC Marcos Livi,CGC Marcos Livi,E-mail inválido
CGC Marcos Livi,CGC Marcos Livi,Pessoal do Share Eat
Crédito Real,Crédito Real,Aniversariantes do Dia
Crédito Real,Crédito Real,Alterou Cadastro
Crédito Real,Crédito Real,Ativos
Crédito Real,Crédito Real,Locatários Inativos
Crédito Real,Crédito Real,Locatários Ativos-aluguel
Crédito Real,Crédito Real,Proprietários Locações - Ativos
Crédito Real,Crédito Real,Condomínios - boleto digital
Crédito Real,Crédito Real,Proprietários Vendas
Crédito Real,Crédito Real,Pesquisa síndicos
Crédito Real,Crédito Real,Cond. San Lucas
Crédito Real,Crédito Real,Síndicos
Crédito Real,Crédito Real,Condôminos
Crédito Real,Crédito Real,Comunicado COVID-19
Crédito Real,Crédito Real,ALGUEL ATIVO
Crédito Real,Crédito Real,Condôminos - Covid-19
Crédito Real,Crédito Real,Locatários - campanha
Crédito Real,Crédito Real,Proprietários - Covid-19
Crédito Real,Crédito Real,Síndicos - Covid-19
Crédito Real,Crédito Real,Aviso Condomínio 
Crédito Real,Crédito Real,Proprietário Aluguel
Crédito Real,Crédito Real,Somente proprietario aluguel
Crédito Real,Crédito Real,Proprietários - Andriapaula
Crédito Real,Crédito Real,Proprietário - Arce
Crédito Real,Crédito Real,LIST OF
Crédito Real,Crédito Real,Proprietários - Caxias - Francisca
Crédito Real,Crédito Real,Proprietário - Cristiane Mallmann
Crédito Real,Crédito Real,Proprietarios - Fatima Gomes
Crédito Real,Crédito Real,Proprietarios - Gisele
Crédito Real,Crédito Real,Proprietarios - Graziela
Crédito Real,Crédito Real,Proprietarios - Joelma
Crédito Real,Crédito Real,Proprietarios - Karine
Crédito Real,Crédito Real,Proprietarios - Marcia Meyer
Crédito Real,Crédito Real,Proprietarios - Mariana
Crédito Real,Crédito Real,Proprietarios - Raquel
Crédito Real,Crédito Real,Proprietarios - Tatiane
Crédito Real,Crédito Real,Comercial de Condomínios
Crédito Real,Crédito Real,Melnick Digital Day
Crédito Real,Crédito Real,Síndicos - 14 de abril
Crédito Real,Crédito Real,Proprietários Locações - Atualizado
Crédito Real,Crédito Real,Comercial de Condomínios - Deniel
Crédito Real,Crédito Real,Locatários - Atualizados
Crédito Real,Crédito Real,Condôminos - Atualizados
Crédito Real,Crédito Real,Condôminos - 24 de maio
Crédito Real,Crédito Real,Locatários - 24 de maio
Crédito Real,Crédito Real,Síndicos - 24 de maio
Crédito Real,Crédito Real,Proprietários - 24 de maio
Crédito Real,Crédito Real,Campanha Síndicos Existe
Crédito Real,Crédito Real,NOVO EXTRATO
Crédito Real,Crédito Real,CONDOMINO POA
Crédito Real,Crédito Real,Condôminos POA
Crédito Real,Crédito Real,COM ATIVIDADE
Crédito Real,Crédito Real,Base Deniel
Crédito Real,Crédito Real,Base Deniel v2
Share Eat,Garrafa do Dia,"Sem variáveis: data conversão, fonte lead e empresa"
Share Eat,Garrafa do Dia,segmentação todos
Share Eat,Garrafa do Dia,Sem Fonte do Lead
Share Eat,Garrafa do Dia,Lideranças
Share Eat,Garrafa do Dia,Lideranças e Mapa
Share Eat,Garrafa do Dia,Empresa Share Eat
Share Eat,Garrafa do Dia,Importação/Origem
Share Eat,Garrafa do Dia,bots
Gira,Gira,Contemp - AD - AV
Gira,Gira,Segmentação [17/07/2019]
Gira,Gira,Disney
Gira,Gira,Aniversariantes do Dia
Gira,Gira,Curso de Verão
Gira,Gira,fotos vênus
Gira,Gira,maiores de 18
Gira,Gira,Full Contact
Gira,Gira,Full - google
Gira,Gira,Full - LinkedIn
Gira,Gira,Full - Pinterest
Gira,Gira,Full - Twitter
Gira,Gira,Full - Bio
Grupo A,Grupo A,Compradores Últimos 90 dias
Grupo A,Grupo A,Segmentação Exemplo Automação
Grupo A,Grupo A,HUM-Educação-Geral
Grupo A,Grupo A,GE-PU-HUM-Educação
Grupo A,Grupo A,UC-HUM-Educação
Grupo A,Grupo A,GE-ESA-Administração
Grupo A,Grupo A,GE-PU-ESA-Administração
